Category,Description,Additional Information
CTLS Parent/communication,"Add a ""Send Later"" button in CTLS Parent messenger. ","I love the parent messenger. However, I would love the option to send at a later time. Often I receive messages after working hours and I open them to read them but don't want to respond right then. I would love to be able to say ""Send Later"" and select the time for the message to send. Several teachers also believe this would be helpful for teachers so we can respectfully set boundaries with parents. Adding this feature would greatly help us when we are working after hours but don't want parents to expect responses late at night from us. "
Assess,"When you print a copy of an assessment that includes a fill in the blank question on CTLS, it does not provide the answer choices for the blank and even includes the correct answer. The formatting needs to be edited when printing. ",Please email me if you would like a screenshot of what this looks like. 
Assess,"The default scoring levels in Assess need to match the grade bands for Cobb's grading scale: 0-69, 70-73, 74-79, 80-89, 90-100.",N/A
CTLS Parent/communication,"Please change the name of the dropdown menu ""home"" to something else so that it is easier to find ""messages"" when I'm in the parent view & trying to write a message home

Please pull messages to its own drop-down or top-level menu in CTLS parent",the home drop-down menu in the parent view in CTLS is too confusing; it is easy to confuse with the home icon in the sidebar
Assess,A report that shows students what questions they missed with the answer they chose and the correct answer,NA
Global/system-wide,"The announcement widget on the CTLS-Teach homescreen is just a static list of announcements, which is not clickable and does not list what class/community the announcement is from. 

Can this widget be enhanced to 1) display which community/class the announcement is from, 2) make the announcements clickable so they take the user directly to that community/class, and 3) give users the option to display a condensed list/feed OR an expanded preview tile that shows a preview of the announcement tile.","The announcement tool could very useful for PLC's and other district level users to communicate content-related information; however, in its current format announcements are not displayed in a visually relevant way and users are not able to determine where the announcement originates from."
CTLS Parent/communication,Can Studio editor for CTLS parent posts be made a bit more user friendly?,Can Studio editor for CTLS parent posts be made a bit more user friendly?
CTLS Parent/communication,"Last year I could send parent communication via CTLS by accessing the Parent Communication link at the bottom of the home page on CTLS (that is, my homepage as a teacher with my classes on it). That link was removed sometime over summer and is now accessible via CTLS Parent if I sign in with my teaching credentials and click through the correct things (even though I would never go there because I am not a parent of a child in the district). It would be great if that link could be restored to the bottom of the homepage.","I have screenshots and could attach those, but don't see a place to do that here."
CTLS Parent/communication,CTLS parent post templates should be able to be shared amongst teachers. ,Please make it possible for teams to share the CTLS parent posts to promote consistency across grade-levels. 
Professional Learning,Draw Feature,Having an upload feature would be a great addition.
Global/system-wide,Switching between users on CTLS learn app, I find it difficult to switch between the 2 accounts I have. Once I’m logged into one of my kids CTLS learn accounts it’s hard to log into the other. If I log out and then try to log back in it automatically leaves the current account as a default. If there is a way to make it easier to switch accounts that’ll be great. Like a button or a full log out and then a place to re enter a new user name etc. thank you!!
Assess,We would like for there to be the enhancement of the Periodic Table available to the students during Physical Science tests just like the Milestones.,We would love this to be  color specific option
Digital Classroom,"It would be extremely helpful for students to have a widget on their dashboard for ""My Classes."" This would decrease the number of clicks students need to use to navigate to a specific digital classroom, which is especially helpful for younger students and students with disabilities.",N/A
